period,red1,red2,red3,red4,red5,red6,blue,jackpot,first_prize_count,first_prize_amount,second_prize_count,second_prize_amount,total_bet_amount,draw_date
13101,5,7,9,23,27,32,1,117330108,4,0,83,0,0,2013-08-29
13102,2,4,5,6,8,16,3,112762404,12,0,142,0,0,2013-09-01
13103,2,4,9,13,18,20,7,129386045,5,0,111,0,0,2013-09-03
13104,1,2,4,15,17,28,11,161543208,4,0,88,0,0,2013-09-05
13105,1,11,23,27,31,32,9,180328590,5,0,70,0,0,2013-09-08
13106,9,11,23,30,31,32,6,192566520,4,0,77,0,0,2013-09-10
13107,7,9,11,17,28,31,11,206293472,7,0,120,0,0,2013-09-12
13108,16,21,22,28,31,32,5,244712259,3,0,60,0,0,2013-09-15
13109,9,23,24,27,29,32,8,248456620,5,0,103,0,0,2013-09-17
13110,15,17,18,21,29,32,13,271666100,4,0,56,0,0,2013-09-19
13111,1,2,3,6,8,33,13,216014150,22,0,252,0,0,2013-09-22
13112,1,6,12,13,22,31,7,199580280,12,0,77,0,0,2013-09-24
13113,4,7,11,17,24,33,9,202421233,7,0,147,0,0,2013-09-26
13114,4,6,17,21,23,33,7,240677850,5,0,97,0,0,2013-09-29
13115,3,12,16,17,18,27,8,211959722,13,0,122,0,0,2013-10-01
13116,12,15,21,26,32,33,7,259236778,2,0,148,0,0,2013-10-03
13117,9,12,13,24,27,33,16,217864773,19,0,232,0,0,2013-10-06
13118,2,3,17,22,32,33,16,243272184,6,0,93,0,0,2013-10-08
13119,5,15,20,22,26,32,9,240588702,9,0,83,0,0,2013-10-10
13120,5,6,13,18,23,31,11,36491411,47,0,447,0,0,2013-10-13
13121,4,5,6,7,25,27,7,60671480,5,0,155,0,0,2013-10-15
